[00:00] 來來來開始囉 大家晚安
[00:05] 大家晚安 收發音樂
[00:07] 大家晚安大家好 來聯絡點一下
[00:11] 晚安晚安 來趕快進來趕快進來
[00:15] 在直播間就可以這樣大吵大鬧
[132:40] 好不好
[132:41] 總共會有八袋
[132:42] 一樣可以補充豐富的
[132:43] 那種蛋白質啦
[132:45] Omega3啦
[132:46] 然後下酒菜啦
[132:47] 它裡面是
[132:48] 煙薰起司
[132:49] 裡面有五種天然的起司混合的
[132:51] 就那一小塊一小塊的這個
[132:53] 是有五種起司天然起司做人製成的
[132:57] 然後另外一個是起司血魚
[132:59] 它裡面是有加入了12%法國來的
[133:03] 很高級耶
[133:03] 法國來的起司喔
[133:05] 12%從法國進口的
[133:07] 所以它會做是奢華
[133:09] 好不好
[133:10] 奢華煙薰起司
[133:11] 它吃起來還有那種
[133:12] 有堅果香氣
[133:13] 然後濃郁的風味在裡面
[133:15] 所以它說吃起來
[133:16] 它的起司有附個
[133:17] 你吃吃看
[133:18] 不會硬不會硬
[133:19] 有那個堅果的香氣
[133:20] 因為那個來自那個
[133:26] 高級的起司
[133:27] 很好吃耶
[133:28] 手三長一點
[133:29] 手三長一點
[133:29] 它起司跟那些血魚會化在一起
[133:31] 然後你不用咬
[133:33] 它會這樣也稠稠的
[133:34] 這種化
[133:34] 化開
[133:36] 然後我看一下喔
[133:37] 它每
[133:38] 很好吃
[133:39] 很好吃
[133:39] 高級的
[133:41] 好不好
[133:41] 它是起司本人
[133:43] 喜歡吃起司的這標不?
[133:44] 不要錯過
[133:44] 很好吃耶
[133:45] 它就起司然後再加血魚啦
[133:47] 好不好
[133:47] 來
[133:48] 每一袋好像是3.2克嗎
[133:50] 我看一下
[133:51] 一袋
[133:51] 一袋都是3.2克
[133:53] 好不好
[133:54] 我跟你講你這個如果
[133:55] 你掉吐司的話
[133:55] 你加在吐司裡也超好吃
[133:57] 還是追貨很久
[133:58] 這超好吃的耶
[133:59] 今天才又剛到貨
[134:02] 剛到貨裡面
[134:03] 來
[134:03] 這個等一下是A28
[134:05] A28
[134:05] A28
[134:06] 如果你喜歡吃起司的
[134:08] 然後想要喜歡吃煙燻歸血魚的
[134:11] 同時可以補充我們魚類的
[134:12] Omega啦
[134:13] 蛋白質
[134:14] 然後再加我們起司的
[134:16] 營養的成分在裡面
[134:17] 五種天然起司的
[134:18] 是做了這個
[134:19] 這個用了二種
[134:20] 煙燻製成的
[134:21] 我現在這邊不準耶
[134:23] 因為我這邊的
[134:24] 大概是到26年12月
[134:26] 好不好
[134:27] 26年12月
[134:28] 他現在是9月初嗎
[134:29] 他1月最新的
[134:30] 他剛才最
[134:31] 最少會到12月
[134:32] 其實管他一下也是
[134:33] 最少會到12月
[134:35] 來 今天要的朋友
[134:36] A28加1
[134:37] 這個很多人許願
[134:39] 剛好今天有刀破
[134:40] 血魚跟起司的融為一體
[134:42] 這入口即化超好吃
[134:44] 來 今天A28加1
[134:46] 加1袋給大家450塊
[134:49] 來 今天加兩袋以上的
[134:51] 一袋只要399帶回家
[134:53] 399
[134:54] 399帶回家
[134:56] 吃的東西這麼厚
[134:57] 是這麼大條的399
[134:59] 裡面有8袋
[135:00] 兩種口味8袋
[135:02] 加2以上的1袋399
[135:04] 是我們那個建式太淺
[135:06] 他這個從1982年
[135:08] 就已經蜂迷人氣綁了
[135:10] 抱歉
[135:12] 他說
[135:13] 他跟他媽媽說
[135:14] 是我們建式太淺
[135:15] 他就結合他媽媽的建式太淺
[135:17] 他結合了日本的
[135:18] 那個日本的血魚
[135:20] 他結合日本的血魚
[135:21] 加上那個法國的起司
[135:23] 融合在一個
[135:24] 融合在一起
[135:25] 很久了是我們不知道
[135:27] 因為剛剛廠商也有跟我說
[135:28] 這個
[135:29] 之前缺貨很久
[135:30] 剛好今天有
[135:31] 有桃子座間有入庫
[135:33] 你們才買得到的
[135:33] 他平常在外面是兩個是分開賣的
[135:35] 你沒辦法一起買兩個口味的
[135:37] 加2包以上就是1袋399
[135:40] 你們可以自己多加幾包
[135:41] 可以自己多加幾包
[135:43] 你今天來日本的話
[135:44] 他正常賣的話
[135:45] 是兩個不同的口味
[135:46] 分開的
[135:47] 他今天幫你直接合在一起
[135:49] 時間限定
[135:50] 他幫你合在一起
[135:51] 超級無敵好吃
[135:52] 再講一次
[135:53] 小的這條是
[135:54] 無種起司靜音製作的
[135:55] 真的
[135:56] 然後吃起來真的是
[135:57] 很好吃很香很香的起司
[135:59] 起司條
[136:00] 然後這個比較細的
[136:01] 他是血魚加上12%的法國起司
[136:04] 進行融合起來
[136:06] 你入
[136:06] 反正嘴巴也不用咬入口即化
[136:09] 入口即化
[136:09] 然後你可以加熱魚
[136:11] 對
[136:12] 對 超級香
[136:14] 有些人會覺得說
[136:14] 起司會不會有那個奇怪的那個
[136:16] 雙味
[136:16] 這完全沒有
[136:17] 霸關的喔
[136:18] 完全沒有
[136:19] 對這超級無敵好吃
[136:20] 我真的覺得大家可以的
[136:22] 敢吃起司的這款
[136:23] 真的多帶幾包回去
[136:25] 你會超級喜歡這款商品
[136:26] 好吃啊
[136:27] 好吃
[136:27] 沒錯
[136:28] 很好吃
[136:29] 來
[136:29] 再來我們今天下午
[136:30] 一直介紹的
[136:31] 一直沒出給你們
[136:32] 來我們日冬出品的
[136:34] 下午我們有出那個
[136:36] 日冬的皇家奶茶給你們
[136:38] 然後這個是抹茶拿鐵
[136:40] 好不好
[136:41] 這個是抹茶拿鐵
[136:43] 然後一樣
[136:44] 冷泡熱泡就對了
[136:45] 冷泡熱泡都可以
[136:46] 然後呢
[136:47] 效期至少到27年的11月
[136:49] 裡面也有60包
[136:52] 好不好
[136:53] 來
[136:54] 選用羽製抹茶
[136:55] 好不好
[136:56] 羽製抹茶
[136:57] 日冬的這個
[136:59] 日冬出品的茶
[137:00] 都是非常非常好喝
[137:02] 然後是做粉末狀的
[137:04] 那你要冷泡熱泡都可以
[137:06] 它是讓一袋裡面10小包
[137:08] 一袋裡面10小包
[137:09] 裡面總共有60小包
[137:11] 裡面總有60小包
[137:13] 然後是抹茶歐蕾
[137:14] 抹茶歐蕾
[137:15] 喝起來非常好喝
[137:17] 然後呢
[137:17] 那個濃淡度可以自己做調整
[137:19] 好不好
[137:20] 濃淡度可以自己做調整
[137:21] 所以如果你今天想要
[137:23] 抹茶歐蕾的
[137:24] 這個呢
[137:25] 幫我打A29
[137:27] 我要喝喝看
[137:28] A29你喝喝看
[137:29] 我超愛抹茶
[137:30] 那你就這樣嘛
[137:31] 羽製抹茶歐蕾
[137:33] 你去外面買一杯
[137:35] 最便宜我們
[137:36] 最便宜咖啡廳什麼的
[137:37] 要不要
[137:38] 要不要一杯150
[137:40] 要
[137:40] 不止
[137:41] 超過
[137:41] 超過
[137:42] 現在抹茶很歐蕾很貴
[137:44] 150
[137:45] 要抹茶很貴
[137:46] 現在抹茶是一個奢侈的一東西
[137:49] 好
[137:49] 越越貴
[137:50] 150乘以60包
[137:51] 也要9千塊
[137:52] 他們不要說
[137:54] 我不要去這個咖啡廳
[137:55] 我今天買手搖飲的抹茶
[137:58] 一杯要不要75塊
[138:01] 要
[138:01] 75塊已經很便宜了
[138:02] 好不好
[138:03] 60
[138:04] 60杯也要4500
[138:06] 來
[138:06] 今天想要這個
[138:07] 我們這個
[138:08] 羽製抹茶日東出品的
[138:10] 抹茶歐蕾的
[138:12] 幫我打會不會很甜
[138:13] 不會
[138:13] 他不會很甜
[138:14] 然後主要是奶香比較多
[138:16] 然後我跟你講
[138:17] 他這款也是秋季上
[138:19] 秋季
[138:19] 秋季才會出的商品
[138:21] 他上禮拜才正式就回來的
[138:23] 回來販售的
[138:24] 上禮拜
[138:24] 我們又遇到了
[138:26] 抹茶這個抹茶季
[138:28] 秋季才會出的
[138:29] 抹茶季
[138:29] 然後冷泡熱泡都可以
[138:31] 好不好
[138:32] 然後今天
[138:33] 不用在那邊有些抹茶
[138:34] 你要自己在那邊有沒有
[138:35] 弄那個粉什麼的
[138:37] 這完全不用
[138:38] 直接輕鬆撕開
[138:39] 然後直接沖泡就OK了
[138:41] 而且他喝起來不會像是有
[138:42] 有些台灣的那種泡的
[138:44] 沒有
[138:45] 我在看那個
[138:46] 幫你準備下來
[138:46] 那個後面的東西
[138:47] 來
[138:48] 他這個
[138:48] A29加1
[138:50] 他這個就是你
[138:50] 你喝起來他完全不會有
[138:52] 但是別泡泡這種抹茶
[138:54] 或是紅茶拿去什麼的
[138:56] 他的他們家完全不會有
[138:57] 那個含有那個苦澀
[138:59] 之後會有什麼粉粉
[139:00] 那個給完全沒有
[139:01] 完全不會
[139:01] 他喝起來就是很絲滑很順
[139:03] 今天我要開架了
[139:04] 今天各位朋友
[139:06] 今天有60包
[139:07] 你可以泡60杯
[139:09] A29加1
[139:10] 高級的
[139:11] 高級的這個
[139:12] 日冬出品的
[139:14] 宇治抹茶歐雷
[139:15] 來今天60包
[139:17] 給大家
[139:18] 商城價
[139:19] 你們要聽好了
[139:19] 這價錢超狂
[139:21] 商城價799
[139:22] 799
[139:23] 來線上價750
[139:25] 加兩盒以上的
[139:27] 一盒給大家699
[139:28] 699
[139:30] 我剛剛說60條對不對
[139:32] 對
[139:32] 來一杯多少錢
[139:33] 11塊
[139:34] 太扯了
[139:35] 7杯
[139:36] 給你們11塊
[139:38] 假那麼多拿10塊
[139:39] 大家可以直接加2
[139:41] 好不好冷泡熱泡都可以
[139:42] 如果你很喜歡
[139:43] 喝宇治抹茶的
[139:44] 太便宜了
[139:45] 抹茶歐雷的
[139:47] 今天自己泡再加
[139:48] 喝一杯就省
[139:49] 就省個100塊
[139:51] 喝一杯就省個100塊
[139:52] 超級超級划算好不好
[139:54] 超級超級划算
[139:55] 一樣日冬
[139:55] 你如果喜歡日冬的
[139:57] 奶茶皇家奶茶
[139:58] 我們今天中午的
[139:59] 好市多專場
[140:00] 在好市多現場也有賣一標
[140:02] 那個
[140:03] 我叫我是100路的
[140:04] 那個奶茶
[140:06] 你也可以去購物車家好不好
[140:08] 或者是到
[140:08] 看我們中午場的直播回發
[140:10] 來 A29要的自己加了
[140:13] 商城價799
[140:14] 線上價750塊
[140:16] 今天加兩盒以上的
[140:17] 還有組合價
[140:18] 加兩盒以上的一盒
[140:19] 只要699
[140:21] 那我覺得好市多這種東西
[140:22] 都非常棒
[140:22] 因為它都是做禮盒包
[140:24] 禮盒式的包裝合裝的
[140:26] 所以如果你今天要自己喝
[140:27] 送禮
[140:28] 都非常棒好不好
[140:29] 都非常棒
[140:30] 因為沒有人不喜歡日本的東西
[140:32] 好不好
[140:33] 直接一盒60個送客戶
[140:35] 送朋友都很棒好不好
[140:37] 來 A29要自己加了
[140:38] 大家都很懂哦
[140:39] 都直接加二起來囉
[140:41] 因為超划算
[140:42] 你11塊你去
[140:44] 超便宜
[140:44] 而且11塊你去叮咚
[140:47] 你買得到飲料嗎
[140:48] 有些人會再買牛奶
[140:49] 然後再把他加進去
[140:51] 會更濃厚
[140:53] 然後會更像
[140:54] 咖啡廳賣的那一種
[140:56] 但後來他本身喝就很好喝了
[140:57] 很高級感
[140:58] 高級感
[140:59] 你就不要講
[141:00] 丁東早餐店11塊
[141:02] 都買得到飲料
[141:03] 來 我今天賣
[141:04] 你們那個價格
[141:04] 真的非常優惠好不好
[141:05] 超優惠
[141:06] 來 你們要的自己加
[141:08] 好
[141:09] 來
[141:10] 那這個先賣這個
[141:11] 你們都很好吃的
[141:12] 來
[141:13] 再來哦
[141:14] 下一標
[141:14] 這你要準備嗎
[141:15] 假的 我不要我給我一個
[141:16] 來
[141:17] 這個是因為我本身不煮飯
[141:18] 但是這個愛玲跟剛剛小蝦
[141:21] 他說這個超好吃
[141:24] 這個超好吃好不好
[141:26] 來 這個呢
[141:28] 對 什麼都可以加
[141:29] 然後是調味調味料
[141:31] 然後我們這個是兩罐一起賣嗎
[141:33] 對
[141:35] 兩罐一起賣
[141:36] 然後一罐是400克好不好
[141:40] 你今天要吃串燒啦
[141:41] 炒飯啦
[141:42] 任何
[141:43] 任何菜
[141:44] 你加它
[141:45] 就會變
[141:46] 就會變美味好不好
[141:48] 加它就變美味
[141:49] 來
[141:50] 它是一個胡椒鹽對不對
[141:52] 對
[141:53] 鹽
[141:53] 胡椒鹽
[141:54] 胡椒鹽
[141:55] 他們都說超好吃
[141:57] 幫我往上一點好不好
[141:58] 他們都說超好吃
[141:59] 你不管牛排啦
[142:00] 烤肉啦
[142:01] 炒菜啦好不好
[142:04] 都非常好吃
[142:04] 因為烤
[142:05] 中秋季
[142:06] 蛋白肉最來不來得及啦
[142:07] 好不好
[142:07] 假設來得及
[142:08] 終於有點到的
[142:09] 串燒上面 烤肉上面
[142:10] 撒一下
[142:11] 非常非常好吃
[142:12] 它是一個胡椒鹽好不好
[142:14] 然後胡椒鹽
[142:17] 你為什麼碰到麵包拿掉
[142:21] 然後我們一罐
[142:22] 一罐
[142:23] 一包裡面是兩罐好不好
[142:26] 兩罐
[142:27] 然後反正你任何的食品
[142:29] 食物
[142:30] 加這個胡椒
[142:31] 調味
[142:32] 它都非常好吃
[142:33] 這個
[142:33] 大家都說讚好不好
[142:34] 大家都說讚
[142:35] 含糖嗎
[142:36] 你是說哪一個含糖
[142:37] 有
[142:38] 抹茶
[142:38] 剛剛那個是
[142:40] 微糖對不對
[142:41] 微糖微糖
[142:42] 好不好
[142:43] 微微的微微的微微的
[142:45] 來
[142:46] 這個裡面
[142:46] 今天是賣兩罐給大家
[142:48] 胡椒鹽賣兩罐給大家
[142:50] 關鍵字幫我打A30
[142:52] 如果你知道
[142:53] 這個有時候
[142:55] 會不會煮飯
[142:55] 就是擦在你知道嗎
[142:57] 最後的調味料
[142:58] 有時候我們叫外送來難吃的藥
[143:00] 實在是
[143:01] 自己加這個胡椒鹽調味一下
[143:03] 它就變好吃了
[143:04] 我們是賣日本境內版的
[143:06] 日本境內版
[143:07] 加在麵裡面
[143:08] 加在飯裡面
[143:10] 湯裡面
[143:11] 燒肉裡面
[143:12] 牛排啦
[143:13] 通通都可以
[143:14] 非常非常好吃
[143:16] 來
[143:16] 今天要的朋友幫我打A30加1
[143:19] 今天只要給大家兩罐好不好
[143:22] 給大家兩罐
[143:23] 來
[143:23] 今天要的朋友
[143:24] 今天A30加1
[143:26] 兩罐只要
[143:28] 390塊帶回家
[143:30] 你們今天如果自己在家裡
[143:31] 兩罐390
[143:32] 我們有時候會煎一些什麼魚排
[143:35] 雞排
[143:35] 牛排啊
[143:36] 什麼
[143:36] 或你今天自己有說
[143:37] 讓人家說一些串燒什麼的
[143:39] 你今天會是炒一些炒飯
[143:41] 我跟你講
[143:42] 你今天加了這個胡椒粉
[143:43] 上去直接變成你在外面
[143:45] 那種米麒麟等級
[143:46] 廚師萬里炒菜的人級
[143:48] 自己當大廚的概念
[143:49] 對
[143:50] 當大廚的概念
[143:51] 還有這個我跟你講
[143:51] 我們今天賣的是日本境內版
[143:53] 境內版的
[143:54] 境內版的
[143:55] 是日本這邊
[143:56] 當地當地方
[143:56] 當我們空運回去的商品
[143:58] 來今天加1
[143:59] 我們給大家直接
[144:00] 390塊帶回家
[144:02] 一罐不用200塊耶
[144:04] 沒錯
[144:04] 直接一罐不用200塊
[144:06] 一罐不用200塊哦
[144:07] 不用兩罐
[144:08] A30加1的蔬料
[144:10] 加1就是兩罐給你們
[144:11] 那效期的話
[144:12] 這都是正常效期
[144:13] 正常最新效期
[144:14] 2027年的8月
[144:15] 8月
[144:16] 那你們收的會更久更久哦
[144:18] 嗯自己加起來
[144:19] 這不要這麼的胡椒鹽
[144:21] 總共是400克加400克的
[144:23] 總共是兩個400克
[144:24] 就800克啦
[144:25] 800克的意思
[144:26] 然後這個
[144:26] 哦
[144:27] 有重量你沒收到運費
[144:28] 很重很重
[144:29] 一罐不用200塊啦
[144:31] 好不好
[144:31] 那一罐不用200塊
[144:32] 大家自己加起來一罐不用200塊
[144:34] 我這覺得是超
[144:36] 必買的必買的
[144:37] 沒錯
[144:37] 必買必買的
[144:38] 然後重點是你今天買
[144:39] 買的是日本境內版
[144:41] 日本境內版的
[144:41] 你們就是直接
[144:42] 自己不用不用想了
[144:44] 他自己帶來學的胡椒
[144:45] 大家都會用的到
[144:47] 不管自己今天家裡會煮飯
[144:48] 或沒有煮飯
[144:49] 你平常可能叫個玉米湯裡面
[144:50] 是不到撒胡椒
[144:51] 對啊
[144:52] 哎
[144:52] 有味啊
[144:52] 然後調味
[144:53] 玉米湯有沒有
[144:54] 加胡椒鹽差很多耶
[144:55] 沒錯
[144:56] 你們自己
[144:56] 差很多
[144:57] 自己加起來自己加起來
[144:58] 也是天分許願的
[144:59] 我覺得我們這款胡椒
[145:00] 你們可以到底試試看
[145:02] 來下一標
[145:03] 來
[145:03] 再來這個很厲害哦
[145:05] 一樣是香菇乾好不好
[145:07] 香菇乾香菇本人
[145:09] 香菇本人
[145:10] 來
[145:11] 我跟大家講
[145:11] 你們要許願
[145:12] 攝取許用
[145:13] 我們陸續幫你們登記
[145:15] 但不一定有哦
[145:16] 好不好
[145:16] 不一定有
[145:17] 先跟大家講
[145:18] 不一定有
[145:18] 我們盡量幫大家找找看
[145:20] 來
[145:20] 再來這個是香菇本人
[145:22] 好不好
[145:23] 香菇乾本人
[145:24] 香菇乾本人
[145:25] 來
[145:25] 我跟大家講哦
[145:26] 這個一包
[145:27] 我看一下一包是300克
[145:29] 夾鏈袋包裝
[145:31] 一包是300克
[145:32] 來給你們看一下哦
[145:33] 香菇本人
[145:34] 好不好
[145:35] 他是香菇本人
[145:36] 香菇本人
[145:37] 然後我手上的效期
[145:38] 至少到27年的1月哦
[145:41] 他們如果再去買
[145:42] 可能會更新
[145:43] 我來吃吃看
[145:47] 好酥脆哦
[145:47] 對啊 聽到有聲音
[145:49] 你聽到
[145:50] 好酥脆
[145:50] 而且他是鹹的
[145:52] 他這起來是鹹的
[145:53] 上面是有那個
[145:55] 酥酥脆對香香鹹鹹的感覺
[145:58] 很好吃
[145:59] 就是香菇餅乾耶
[146:01] 好不好
[146:01] 香菇餅乾
[146:03] 很好吃耶
[146:03] 這個
[146:04] 這很適合配
[146:05] 也很適合配酒
[146:06] 或者是你今天呢
[146:08] 煮個飯啊炒飯啊
[146:09] 可以把它當配料
[146:10] 很好吃
[146:11] 超好吃的
[146:12] 單吃就很好吃
[146:12] 你吃它很好吃
[146:15] 然後呢
[146:16] 新鮮香菇製作
[146:17] 不含人工香料
[146:19] 不含人工色素跟防腐劑
[146:21] 超好吃的
[146:22] 很脆耶
[146:23] 很好吃
[146:24] 超脆
[146:24] 超好吃耶
[146:25] 嗯
[146:26] 而且他是用那個
[146:27] 低溫少油
[146:29] 低溫少油的那個烘製
[146:31] 不是用炸的
[146:32] 好不好
[146:32] 所以完整保留香菇的這種
[146:34] 自然
[146:35] 它的香菇的那種
[146:36] 更好吃耶
[146:37] 但是煮脆的口感
[146:38] 很好吃耶
[146:38] 超好吃
[146:39] 他剛剛就有說這個超好吃
[146:41] 超脫漸
[146:43] 好吃
[146:45] 素的嗎
[146:45] 你幫幫幫
[146:47] 香菇本來
[146:49] 香菇本來
[146:50] 好好吃哦
[146:51] 我來我來
[146:51] 跟想的不一樣
[146:52] 跟我想的不一樣
[146:53] 跟想的更好吃
[146:54] 很好吃
[146:55] 跟想的更好吃
[146:56] 炒一個很好吃
[146:57] 嗯
[146:58] 天啊
[146:59] 欸
[147:00] 超好吃耶
[147:02] 沒有加
[147:02] 對
[147:03] 他沒有加那個
[147:03] 沒有加一些味精啊
[147:05] 沒有加兩個
[147:06] 我也覺得這個配酒超好吃
[147:08] 嗯
[147:08] 好不好
[147:09] 來
[147:09] 這個很好吃哦
[147:11] 放濃湯
[147:12] 可以
[147:12] 變軟一點
[147:13] 但是他單吃
[147:14] 單吃超脆
[147:16] 超級好吃
[147:17] 嗯
[147:18] 就是
[147:19] 你吃下去的口感
[147:20] 說哇
[147:20] 天啊
[147:21] 怎麼那麼好吃
[147:22] 好不好
[147:23] 然後夾鍊帶包裝
[147:24] 然後你就可以直接
[147:25] 就是吃到香菇本人的養分
[147:27] 好不好
[147:27] 小朋友可以直接當作
[147:29] 那個
[147:29] 點心零食吃也都可以
[147:31] 來
[147:31] 這個香菇要的是A31
[147:34] 好不好
[147:34] A31加1
[147:36] 我再來一次哦
[147:37] 沒有添加人工色素
[147:38] 沒有添加香料
[147:39] 沒有添加防護劑
[147:41] 好不好
[147:42] 全素有讚
[147:43] 然後你也可以加在沙拉
[147:44] 加在濃湯裡面
[147:46] tongtongtong
[147:46] 然後他他選用的是那個澳洲
[147:48] 澳洲進口的那個香菇
[147:50] 澳洲進口的香菇
[147:51] 還是日本限定的
[147:52] 然後日本的
[147:52] 日本品牌做的
[147:54] 然後是使用澳洲進口的香菇
[147:56] 來
[147:57] 香菇現在要賣了等等
[147:58] 好不好
[147:59] 來
[147:59] A31加1
[148:00] 今天這一包給大家
[148:02] 商城價
[148:03] 490
[148:04] 490
[148:05] 然後線上價
[148:06] 469塊
[148:07] 469
[148:08] 我今天多加幾包
[148:09] 千萬不要只加一包
[148:11] 這標真的是完全沒有負擔的意思
[148:13] 現在很多新朋友
[148:15] 新朋友先幫我們加入
[148:16] 先VIP社群才可以喊單
[148:18] 好不好
[148:19] 新朋友先幫我們加入VIP社群
[148:21] 不然是沒辦法買東西的
[148:22] 接下來新朋友點下面的按鈕
[148:23] 開啟連結
[148:24] 進去後直接轉跳我們的官方LINE社群
[148:27] 加入後
[148:28] 你可以裡面可以
[148:29] 小胖胖幫我們添我們的
[148:30] 零食高屋巾的那個
[148:32] 新朋友100元高屋巾
[148:33] 可以做零食
[148:34] 的規則
[148:34] 可以去領我們新朋友高屋巾
[148:36] 再回來喊單
[148:37] 當然會來喊單
[148:38] 然後記得我們裡面會有
[148:39] 我們這是
[148:40] 日本連線的結單規則
[148:41] 因為我們才第一天而已
[148:42] 好不好
[148:43] 才第一天而已
[148:44] 然後剛剛看社群
[148:45] 超多人瘋狂許願
[148:46] 我們會幫你們登記起來
[148:48] 然後幫你們找找看
[148:49] 因為不見得每樣東西
[148:50] 剛好都有
[148:51] 我們會盡力幫你們找找看
[148:53] 好不好
[148:54] 來
[148:54] 這個相顧真的不要只加一包
[148:56] 加一包你會後悔
[148:57] 超好吃的
[148:58] 加一包你會後悔好不好
[148:59] 還不是什麼
[149:00] 來
[149:00] 線上喊單的朋友
[149:01] A31加1只要400
[149:03] 69塊
[149:04] 好不好
[149:05] 469塊
[149:06] 來
[149:07] 剛剛計時兩分鐘
[149:08] A31有家的朋友
[149:10] 等下兩分鐘時間到
[149:12] 幫我抽一位
[149:12] 我再多送他一包
[149:14] 好
[149:14] 好不好
[149:15] 我們要不定時玩遊戲啊
[149:16] 好不好
[149:17] 太好了
[149:18] 就是剛剛覺得很驚喜好不好
[149:21] 來
[149:21] 倒數兩分鐘
[149:22] 兩分鐘內有喊單的朋友
[149:24] 有喊A31相顧脆便的朋友
[149:26] 兩分鐘時間到
[149:27] 小幫手會幫我抽出一位
[149:29] 直接把你
[149:30] 我不管你買幾包
[149:31] 反正把你直接免費送你一包
[149:32] 好不好
[149:33] 反正要免費加送你
[149:34] 很硬嗎
[149:35] 他是應該講是脆
[149:36] 他不是硬
[149:37] 好不好
[149:37] 我這遊戲算顧乾會脆
[149:39] 有人稱讚他很硬
[149:40] 這完全不會
[149:41] 他是脆的
[149:41] 他很酥脆
[149:42] 很好吃
[149:43] 酥脆的
[149:43] 酥脆的
[149:44] 酥脆的
[149:45] 我真的覺得
[149:46] 我們吃下去
[149:46] 每個人都很驚豔的那種感覺
[149:48] 然後又跟你在那個南大門
[149:50] 也也買的那個香顧乾
[149:51] 又不一樣
[149:52] 又不一樣
[149:54] 來
[149:54] 後面其他
[149:55] 等等這個已經泡了
[149:56] 但是他要等
[149:57] 他要等一下
[149:58] 才看得到
[149:59] 才看他的效果
[150:00] 因為他是隔夜
[150:01] 變慢
[150:02] 他其實是你前一晚泡好
[150:04] 然後隔天早上
[150:06] 可以喝當早餐的
[150:07] 因為我們要快速讓你們看到
[150:09] 所以我們剛拿去泡了
[150:11] 至少要先等兩個小時
[150:12] 所以等一下
[150:13] 等一下
[150:14] 這個
[150:14] 這個
[150:15] 你現在看到的
[150:15] 全部都是被人家買光了
[150:18] 我們等一下
[150:18] 幫你們做介紹
[150:19] 你們稍等一下
[150:20] 已經拿去泡了
[150:21] 好不好
[150:22] 來
[150:22] 喊到爆了
[150:23] 來倒數90秒鐘
[150:24] 等一下我們直接到
[150:26] 我會抽一位
[150:26] 直接加送你一包
[150:28] 好不好
[150:29] 直接加送你們一包
[150:31] 就是抽到那位
[150:31] 直接香菇隨便
[150:32] 因為我個人覺得超好吃
[150:34] 直接加送一包
[150:35] 來
[150:36] 再來我先去準備下一瓢
[150:37] 好不好
[150:39] 來
[150:39] 時間到
[150:40] 小幫手幫我抽
[150:42] 再來剛有人懂點菜了
[150:44] 好事多
[150:45] 銷售No.1
[150:47] 好不好
[150:48] 我今天去好事多
[150:49] 我跟你講
[150:49] 這個東西
[150:50] 它是這種
[150:51] 好幾版車放在那邊
[150:54] 028431
[150:56] 因為你知道嗎
[150:56] 日本人最愛吃這種
[150:58] 這種類似青枝酵素的東西
[151:01] 然後呢
[151:02] 這個呢
[151:02] 是他們家最有名的
[151:04] 為什麼
[151:04] 因為國產
[151:05] 好不好
[151:06] 國產的有機大賣落葉
[151:08] 然後完全沒有添加
[151:10] 100%的青枝
[151:12] 剛剛香菇素質可以吃
[151:15] 它是香菇本人
[151:17] 好不好
[151:17] 香菇本人
[151:19] 然後裡面呢
[151:19] 有162包
[151:22] 好不好
[151:22] 162包
[151:24] 那青枝酵素怎樣
[151:25] 蔬菜攝取不夠的人
[151:27] 然後可以用青枝酵素來補足
[151:29] 因為我就在這邊跟大家講
[151:32] 你一天有吃
[151:32] 不要說有吃到三種蔬菜嗎
[151:34] 了不起三種
[151:36] 那呢
[151:37] 吃的量也不知道夠不夠
[151:39] 按照吃水果
[151:39] 像我本人
[151:40] 很認真在想
[151:41] 我們有吃青菜嗎
[151:42] 沒有耶
[151:44] 真的耶
[151:44] 來這邊
[151:45] 我們都吃微波
[151:46] 然後忙啊
[151:47] 也沒有
[151:48] 也完全沒有吃到青菜好不好
[151:50] 來
[151:50] 這個是呢
[151:51] Cosco
[151:53] 日本Cosco
[151:54] 銷售No.1
[151:55] 來
[151:56] 這個裡面呢
[151:56] 一樣
[151:57] 日本人
[151:57] 他們就很喜歡補充那青枝酵素
[151:59] 因為大家知道
[152:00] 日本人很養生嘛
[152:02] 那蔬菜如果吃的不夠
[152:03] 就有很多問題嘛
[152:05] 腸胃道就是不通嘛
[152:06] 會遍密嘛
[152:07] 各種各樣的問題
[152:08] 對
[152:09] 然後呢
[152:10] 就是非常方便
[152:10] 一次一包
[152:12] 你就是把粉末
[152:13] 然後直接加水攪一攪
[152:15] 攪一攪
[152:15] 然後直接就可以喝
[152:16] 它可以補充我們什麼呢
[152:18] 可以補充我們的膳食纖維
[152:20] 可以補充我們的維生素
[152:21] 礦物質
[152:22] 多種營養的成分在裡面
[152:24] 那裡面是百分之一百的
[152:27] 這個青枝好不好
[152:29] 還是沒有
[152:30] 沒有添加任何
[152:31] 沒有添加糖
[152:32] 沒有添加香精
[152:33] 沒有添加色素
[152:34] 沒有添加防補劑
[152:36] 好不好
[152:36] 排便不是唱的人
[152:38] 這個喝了
[152:38] 雖然你們吃葡萄酵素果凍
[152:41] 很少人排便不是很差
[152:42] 對啊
[152:43] 但呢
[152:43] 如果你想要
[152:45] 這個
[152:45] 因為應該有點許願
[152:47] 我們一樣就是出給大家
[152:48] 好不好
[152:49] 葉酸號碼
[152:50] 你說鐵加葉酸
[152:51] A-0請
[152:52] 換TRAIN
[152:53] A-0
[152:54] 在前面
